Period,Corn,Grain Sorghum,Agriculture and forestry residues,Dedicated energy crops,Other,Poultry,Tallow (beef),White Grease,Yellow Grease,Other,Oil from Algae,Canola oil,Corn oil,Palm oil,Sorghum oil,Soybean oil,Other vegetable oils,Municipal solid waste,Yard and food waste,Other,Biogas,Other biofuel feedstocks (NESOI)
January,23237.114,W,0.0,0.0,0.0,33.535,83.999,52.546,262.722,5.586,0.0,W,213.334,0.0,0.0,682.876,0.0,0.0,W,63.527,0.0,19.834
February,18716.806,W,0.0,0.0,0.0,34.245,66.431,50.412,197.612,3.393,0.0,85.328,155.02,0.0,0.0,552.228,0.0,0.0,W,51.749380539099995,0.0,10.503
